"position","const","created","modified","description","Title","Title type","Directors","RDLongoria rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0995832","Wed Apr 24 14:07:26 2013","Wed Apr 24 14:07:26 2013","","Generation Kill","Mini-Series","","9","8.7","70","2008","drama, war","33509","2008-07-13","http://www.imdb.com/title/tt0995832/"
"2","tt1758429","Wed Apr 24 14:07:26 2013","Wed Apr 24 14:07:26 2013","","Spartacus: Gods of the Arena","Mini-Series","","8","8.6","55","2011","action, adventure, biography, drama, history, romance","87871","2011-01-21","http://www.imdb.com/title/tt1758429/"
"3","tt0185906","Wed Apr 24 14:07:26 2013","Wed Apr 24 14:07:26 2013","","Band of Brothers","Mini-Series","","9","9.5","70","2001","action, drama, history, war","222506","2001-09-09","http://www.imdb.com/title/tt0185906/"
"4","tt0374463","Wed Apr 24 14:07:26 2013","Wed Apr 24 14:07:26 2013","","The Pacific","Mini-Series","","8","8.3","530","2010","action, adventure, drama, history, war","67248","2010-03-14","http://www.imdb.com/title/tt0374463/"
"5","tt0112130","Wed Apr 24 14:07:26 2013","Wed Apr 24 14:07:26 2013","","Pride and Prejudice","Mini-Series","","8","9.1","327","1995","drama, romance","51848","1995-09-24","http://www.imdb.com/title/tt0112130/"
"6","tt0074006","Wed Apr 24 14:07:26 2013","Wed Apr 24 14:07:26 2013","","I, Claudius","Mini-Series","","8","9.0","669","1976","drama, history","10768","1976-09-20","http://www.imdb.com/title/tt0074006/"
"7","tt0120570","Wed Apr 24 14:07:26 2013","Wed Apr 24 14:07:26 2013","","From the Earth to the Moon","Mini-Series","","","8.9","60","1998","action, drama, history, thriller","7646","1998-04-05","http://www.imdb.com/title/tt0120570/"
"8","tt0417349","Wed Apr 24 14:07:26 2013","Wed Apr 24 14:07:26 2013","","North & South","Mini-Series","","5","8.9","58","2004","drama, romance","20277","2004-11-14","http://www.imdb.com/title/tt0417349/"
"9","tt1227926","Wed Apr 24 14:07:26 2013","Wed Apr 24 14:07:26 2013","","Dr. Horrible's Sing-Along Blog","Mini-Series","","","8.7","42","2008","comedy, musical, sci_fi","34008","2008-07-15","http://www.imdb.com/title/tt1227926/"
"10","tt0096639","Wed Apr 24 14:07:26 2013","Wed Apr 24 14:07:26 2013","","Lonesome Dove","Mini-Series","","7","8.8","384","1989","adventure, drama, western","14649","1989-02-05","http://www.imdb.com/title/tt0096639/"
"11","tt0472027","Wed Apr 24 14:07:26 2013","Wed Apr 24 14:07:26 2013","","John Adams","Mini-Series","","6","8.7","501","2008","biography, drama, history","19170","2008-03-16","http://www.imdb.com/title/tt0472027/"
"12","tt2085059","Wed Apr 24 14:07:26 2013","Wed Apr 24 14:07:26 2013","","Black Mirror","TV Series","","6","8.8","60","2011","drama, sci_fi, thriller","55457","2011-12-04","http://www.imdb.com/title/tt2085059/"
"13","tt0075520","Wed Apr 24 14:07:26 2013","Wed Apr 24 14:07:26 2013","","Jesus of Nazareth","Mini-Series","","","8.6","382","1977","biography, drama, history","12550","1977-03-27","http://www.imdb.com/title/tt0075520/"
"14","tt0314979","Wed Apr 24 14:07:26 2013","Wed Apr 24 14:07:26 2013","","Battlestar Galactica","Mini-Series","","9","8.6","183","2003","action, adventure, drama, sci_fi","47186","2003-12-08","http://www.imdb.com/title/tt0314979/"
"15","tt0075572","Wed Apr 24 14:07:26 2013","Wed Apr 24 14:07:26 2013","","Roots","Mini-Series","","9","8.5","","1977","drama, history, war","10976","1977-01-23","http://www.imdb.com/title/tt0075572/"
"16","tt0780362","Wed Apr 24 14:07:26 2013","Wed Apr 24 14:07:26 2013","","Jane Eyre","Mini-Series","","","8.4","230","2006","drama, romance","14568","2006-09-24","http://www.imdb.com/title/tt0780362/"
"17","tt0830361","Wed Apr 24 14:07:26 2013","Wed Apr 24 14:07:26 2013","","The Lost Room","Mini-Series","","","8.3","270","2006","action, fantasy, mystery, sci_fi","23291","2006-12-11","http://www.imdb.com/title/tt0830361/"
"18","tt0318997","Wed Apr 24 14:07:26 2013","Wed Apr 24 14:07:26 2013","","Angels in America","Mini-Series","","","8.3","352","2003","drama, fantasy","21793","2003-12-07","http://www.imdb.com/title/tt0318997/"
"19","tt1453159","Wed Apr 24 14:07:26 2013","Wed Apr 24 14:07:26 2013","","The Pillars of the Earth","Mini-Series","","9","8.1","60","2010","drama, history, romance, thriller, war","21949","2010-07-23","http://www.imdb.com/title/tt1453159/"
"20","tt0207275","Wed Apr 24 14:07:26 2013","Wed Apr 24 14:07:26 2013","","The 10th Kingdom","Mini-Series","","","8.4","417","2000","adventure, comedy, family, fantasy, mystery, romance","14222","2000-02-27","http://www.imdb.com/title/tt0207275/"
"21","tt0080274","Wed Apr 24 14:07:26 2013","Wed Apr 24 14:07:26 2013","","Shogun","Mini-Series","Jerry London","6","8.2","60","1980","adventure, drama, history, war","8987","1980-09-15","http://www.imdb.com/title/tt0080274/"
"22","tt1985443","Wed Apr 24 14:07:26 2013","Wed Apr 24 14:07:26 2013","","Hatfields & McCoys","Mini-Series","","9","8.1","290","2012","drama, history, romance, war, western","17390","2012-05-28","http://www.imdb.com/title/tt1985443/"
"23","tt1285482","Wed Apr 24 14:07:26 2013","Wed Apr 24 14:07:26 2013","","Dead Set","Mini-Series","","","7.8","141","2008","comedy, drama, horror","14165","2008-10-18","http://www.imdb.com/title/tt1285482/"
"24","tt0289830","Wed Apr 24 14:07:26 2013","Wed Apr 24 14:07:26 2013","","Taken","Mini-Series","","","7.9","877","2002","drama, sci_fi","16839","2002-10-10","http://www.imdb.com/title/tt0289830/"
