"position","const","created","modified","description","Title","Title type","Directors","RDLongoria rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0118147","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","When We Were Kings","Documentary","Leon Gast","8","8.0","88","1996","documentary, history, sport","12332","1996-01","http://www.imdb.com/title/tt0118147/"
"2","tt0482857","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","Broken Trail","Mini-Series","","9","7.8","184","2006","western","4637","2006-06-24","http://www.imdb.com/title/tt0482857/"
"3","tt0102744","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","Quigley Down Under","Feature Film","Simon Wincer","9","6.8","119","1990","action, adventure, drama, romance, western","15114","1990-10-17","http://www.imdb.com/title/tt0102744/"
"4","tt1453159","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","The Pillars of the Earth","Mini-Series","","9","8.1","60","2010","drama, history, romance, thriller, war","21949","2010-07-23","http://www.imdb.com/title/tt1453159/"
"5","tt0075572","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","Roots","Mini-Series","","9","8.5","","1977","drama, history, war","10976","1977-01-23","http://www.imdb.com/title/tt0075572/"
"6","tt0096639","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","Lonesome Dove","Mini-Series","","7","8.8","384","1989","adventure, drama, western","14649","1989-02-05","http://www.imdb.com/title/tt0096639/"
"7","tt0079239","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","The Great Santini","Feature Film","Lewis John Carlino","8","7.2","115","1979","drama","4417","1979-10-26","http://www.imdb.com/title/tt0079239/"
"8","tt0098513","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","Triumph of the Spirit","Feature Film","Robert M. Young","8","6.9","120","1989","biography, drama, history, sport, war","1660","1989-12-08","http://www.imdb.com/title/tt0098513/"
"9","tt1540814","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","Casino Jack and the United States of Money","Documentary","Alex Gibney","8","7.1","118","2010","documentary","1314","2010-01","http://www.imdb.com/title/tt1540814/"
"10","tt1337137","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","South of the Border","Documentary","Oliver Stone","8","7.1","78","2009","documentary","2361","2009-09-07","http://www.imdb.com/title/tt1337137/"
"11","tt1363109","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","Journey to the Edge of the Universe","Documentary","Yavar Abbas","8","8.6","91","2008","documentary","2557","2008-12-07","http://www.imdb.com/title/tt1363109/"
"12","tt0094712","Tue Mar 12 08:25:41 2013","Tue Mar 12 08:25:41 2013","","Bat*21","Feature Film","Peter Markle","8","6.4","105","1988","drama, war","6159","1988-08-06","http://www.imdb.com/title/tt0094712/"
