"position","const","created","modified","description","Title","Title type","Directors","RDLongoria rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0112817","Sat Mar 16 12:41:14 2013","Sat Mar 16 12:41:14 2013","","Dead Man","Feature Film","Jim Jarmusch","6","7.7","121","1995","drama, fantasy, western","71350","1995-05-26","http://www.imdb.com/title/tt0112817/"
"2","tt1175709","Sat Mar 16 12:41:14 2013","Sat Mar 16 12:41:14 2013","","All Good Things","Feature Film","Andrew Jarecki","","6.3","101","2010","crime, drama, mystery, romance, thriller","40697","2010-11-05","http://www.imdb.com/title/tt1175709/"
"3","tt0393109","Sat Mar 16 12:41:14 2013","Sat Mar 16 12:41:14 2013","","Brick","Feature Film","Rian Johnson","4","7.4","110","2005","action, crime, drama, mystery, thriller","84317","2005-01","http://www.imdb.com/title/tt0393109/"
"4","tt0054698","Sat Mar 16 12:41:14 2013","Sat Mar 16 12:41:14 2013","","Breakfast at Tiffany's","Feature Film","Blake Edwards","6","7.8","115","1961","comedy, drama, romance","121100","1961-10-05","http://www.imdb.com/title/tt0054698/"
"5","tt0249462","Sat Mar 16 12:41:14 2013","Sat Mar 16 12:41:14 2013","","Billy Elliot","Feature Film","Stephen Daldry","","7.7","110","2000","drama, music","97527","2000-05-19","http://www.imdb.com/title/tt0249462/"
"6","tt1462758","Sat Mar 16 12:41:14 2013","Sat Mar 16 12:41:14 2013","","Buried","Feature Film","Rodrigo Cortés","7","7.0","95","2010","drama, mystery, thriller","117412","2010-01-23","http://www.imdb.com/title/tt1462758/"
"7","tt0104036","Sat Mar 16 12:41:14 2013","Sat Mar 16 12:41:14 2013","","The Crying Game","Feature Film","Neil Jordan","6","7.3","112","1992","crime, drama, romance, thriller","41004","1992-09-02","http://www.imdb.com/title/tt0104036/"
"8","tt0795351","Sat Mar 16 12:41:14 2013","Sat Mar 16 12:41:14 2013","","Case 39","Feature Film","Christian Alvart","6","6.2","109","2009","horror, mystery, thriller","59715","2009-08-13","http://www.imdb.com/title/tt0795351/"
"9","tt0109506","Sat Mar 16 12:41:14 2013","Sat Mar 16 12:41:14 2013","","The Crow","Feature Film","Alex Proyas","6","7.6","102","1994","action, drama, fantasy","135402","1994-05-11","http://www.imdb.com/title/tt0109506/"
"10","tt0363163","Sat Mar 16 12:41:14 2013","Sat Mar 16 12:41:14 2013","","Downfall","Feature Film","Oliver Hirschbiegel","","8.3","156","2004","biography, drama, history, war","245495","2004-09-08","http://www.imdb.com/title/tt0363163/"
