"position","const","created","modified","description","Title","Title type","Directors","RDLongoria rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0089218","Wed Feb 25 14:42:25 2015","Wed Feb 25 14:42:25 2015","","The Goonies","Feature Film","Richard Donner","5","7.8","114","1985","adventure, comedy, family","175937","1985-06-07","http://www.imdb.com/title/tt0089218/"
"2","tt0110912","Wed Feb 25 14:42:25 2015","Wed Feb 25 14:42:25 2015","","Pulp Fiction","Feature Film","Quentin Tarantino","10","8.9","154","1994","crime, drama","1306166","1994-05-12","http://www.imdb.com/title/tt0110912/"
"3","tt1907668","Wed Feb 25 14:42:25 2015","Wed Feb 25 14:42:25 2015","","Flight","Feature Film","Robert Zemeckis","7","7.3","138","2012","drama, thriller","261872","2012-10-14","http://www.imdb.com/title/tt1907668/"
"4","tt1694020","Wed Feb 25 14:42:25 2015","Wed Feb 25 14:42:25 2015","","The Guilt Trip","Feature Film","Anne Fletcher","","5.8","95","2012","comedy, drama","30157","2012-12-19","http://www.imdb.com/title/tt1694020/"
"5","tt0790724","Wed Feb 25 14:42:25 2015","Wed Feb 25 14:42:25 2015","","Jack Reacher","Feature Film","Christopher McQuarrie","5","7.0","130","2012","action, crime, mystery, thriller","222944","2012-12-10","http://www.imdb.com/title/tt0790724/"
"6","tt1234719","Wed Feb 25 14:42:25 2015","Wed Feb 25 14:42:25 2015","","Red Dawn","Feature Film","Dan Bradley","","5.4","93","2012","action, thriller","62026","2012-09-27","http://www.imdb.com/title/tt1234719/"
"7","tt1074638","Wed Feb 25 14:42:25 2015","Wed Feb 25 14:42:25 2015","","Skyfall","Feature Film","Sam Mendes","4","7.8","143","2012","action, adventure, thriller","516514","2012-10-23","http://www.imdb.com/title/tt1074638/"
"8","tt2101441","Wed Feb 25 14:42:25 2015","Wed Feb 25 14:42:25 2015","","Spring Breakers","Feature Film","Harmony Korine","","5.3","94","2012","crime, drama","107361","2012-09-05","http://www.imdb.com/title/tt2101441/"
"9","tt1935179","Wed Feb 25 14:42:25 2015","Wed Feb 25 14:42:25 2015","","Mud","Feature Film","Jeff Nichols","5","7.4","130","2012","drama","133326","2012-05-26","http://www.imdb.com/title/tt1935179/"
"10","tt1583421","Wed Feb 25 14:42:25 2015","Wed Feb 25 14:42:25 2015","","G.I. Joe: Retaliation","Feature Film","Jon M. Chu","","5.8","110","2013","action, adventure, sci_fi, thriller","144929","2013-03-11","http://www.imdb.com/title/tt1583421/"
"11","tt0816711","Wed Feb 25 14:42:25 2015","Wed Feb 25 14:42:25 2015","","World War Z","Feature Film","Marc Forster","3","7.0","116","2013","action, adventure, horror, sci_fi, thriller","458803","2013-06-02","http://www.imdb.com/title/tt0816711/"
"12","tt1408101","Wed Feb 25 14:42:25 2015","Wed Feb 25 14:42:25 2015","","Star Trek Into Darkness","Feature Film","J.J. Abrams","5","7.8","132","2013","action, adventure, sci_fi","387237","2013-05-02","http://www.imdb.com/title/tt1408101/"
"13","tt1389096","Wed Feb 25 14:42:25 2015","Wed Feb 25 14:42:25 2015","","Stand Up Guys","Feature Film","Fisher Stevens","5","6.5","95","2012","comedy, crime, thriller","44671","2012-09","http://www.imdb.com/title/tt1389096/"
"14","tt1980209","Wed Feb 25 14:42:25 2015","Wed Feb 25 14:42:25 2015","","Pain & Gain","Feature Film","Michael Bay","6","6.5","129","2013","comedy, crime, drama","159364","2013-04-11","http://www.imdb.com/title/tt1980209/"
"15","tt2070862","Wed Feb 25 14:42:25 2015","Wed Feb 25 14:42:25 2015","","Temptation: Confessions of a Marriage Counselor","Feature Film","Tyler Perry","","4.9","111","2013","drama, thriller","9969","2013-03-29","http://www.imdb.com/title/tt2070862/"
"16","tt2132285","Wed Feb 25 14:42:25 2015","Wed Feb 25 14:42:25 2015","","The Bling Ring","Feature Film","Sofia Coppola","","5.6","90","2013","biography, crime, drama","66677","2013-05-16","http://www.imdb.com/title/tt2132285/"
"17","tt1931435","Wed Feb 25 14:42:25 2015","Wed Feb 25 14:42:25 2015","","The Big Wedding","Feature Film","Justin Zackham","","5.6","89","2013","comedy","37090","2013-04-25","http://www.imdb.com/title/tt1931435/"
"18","tt1457765","Wed Feb 25 14:42:25 2015","Wed Feb 25 14:42:25 2015","","The Haunting in Connecticut 2: Ghosts of Georgia","Feature Film","Tom Elkins","","5.3","101","2013","drama, horror, mystery, thriller","12996","2013-02-01","http://www.imdb.com/title/tt1457765/"
"19","tt1428538","Wed Feb 25 14:42:25 2015","Wed Feb 25 14:42:25 2015","","Hansel & Gretel: Witch Hunters","Feature Film","Tommy Wirkola","3","6.1","88","2013","action, fantasy, horror","158138","2013-01-17","http://www.imdb.com/title/tt1428538/"
"20","tt0119217","Wed Feb 25 14:42:25 2015","Wed Feb 25 14:42:25 2015","","Good Will Hunting","Feature Film","Gus Van Sant","9","8.3","126","1997","drama","595347","1997-12-02","http://www.imdb.com/title/tt0119217/"
"21","tt0208092","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Snatch.","Feature Film","Guy Ritchie","9","8.3","104","2000","comedy, crime","593691","2000-08-23","http://www.imdb.com/title/tt0208092/"
"22","tt0317740","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","The Italian Job","Feature Film","F. Gary Gray","6","7.0","111","2003","action, crime, thriller","283138","2003-05-30","http://www.imdb.com/title/tt0317740/"
"23","tt0319061","Wed Feb 25 14:42:26 2015","Wed Feb 25 14:42:26 2015","","Big Fish","Feature Film","Tim Burton","6","8.0","125","2003","adventure, drama, fantasy","348215","2003-12-10","http://www.imdb.com/title/tt0319061/"
