title,width,height,error,imdb_id
"10,000 BC [2008].avi",608.0,256.0,,tt0443649
13 Assassins [2010].avi,720.0,304.0,,tt1436045
1408 [2007].avi,652.0,266.0,,tt0450385
1984 [1984].avi,592.0,320.0,,tt0087803
2001 A Space Odyssey [1968].avi,640.0,272.0,,tt0062622
2012 [2009].avi,640.0,272.0,,tt1190080
21 [2008].avi,684.0,276.0,,tt0478087
30 Days of Night [2007].avi,672.0,268.0,,tt0389722
30 Minutes or Less [2011].avi,720.0,304.0,,tt1622547
A Beautiful Mind [2001].mp4,1280.0,688.0,,tt0268978
A Bronx Tale [1993].mkv,720.0,384.0,,tt0106489
A Company Man [2012].mp4,1280.0,544.0,,tt2371486
A Fistful of Dollars [1964].avi,512.0,224.0,,tt0058461
A Good Old Fashioned Orgy [2011].mp4,1280.0,688.0,,tt1231586
A History of Violence [2005].avi,516.0,272.0,,tt0399146
A Nightmare on Elm Street [2010].avi,576.0,240.0,,tt1179056
A Scanner Darkly [2006].avi,572.0,312.0,,tt0405296
A Serbian Film [2010].mkv,1280.0,534.0,,tt1273235
Absolute Power [1997].avi,544.0,400.0,,tt0118548
Act of Valor [2012].mp4,1280.0,536.0,,tt1591479
Adventureland [2009].avi,636.0,350.0,,tt1091722
Aftermath [2012].mp4,1280.0,720.0,,tt2209300
Akira [1988].avi,720.0,416.0,,tt0094625
"Alexander and the Terrible, Horrible, No Good, Very Bad Day [2014].mp4",1280.0,536.0,,tt1698641
Alien 3 [1992].avi,684.0,282.0,,tt0103644
Alien Resurrection [1997].avi,672.0,278.0,,tt0118583
Alien [1979].avi,668.0,278.0,,tt0078748
Aliens vs. Predator Requiem [2007].avi,704.0,288.0,,tt0758730
Aliens [1986].avi,624.0,336.0,,tt0090605
Allegiant [2016].mkv,1912.0,792.0,,tt3410834
Amadeus [1984].avi,352.0,160.0,,tt0086879
American Dirtbags [2015].mkv,1916.0,812.0,,tt4938588
American Gangster [2007].mkv,1280.0,688.0,,tt0765429
American Ultra [2015].avi,1280.0,688.0,,tt3316948
Amélie [2001].avi,496.0,208.0,,tt0211915
An American Crime [2007].avi,648.0,354.0,,tt0802948
And Now for Something Completely Different [1971].mp4,1280.0,720.0,,tt0066765
Andron [2015].mkv,1912.0,790.0,,tt4073890
"Angus, Thongs and Perfect Snogging [2008].avi",676.0,272.0,,tt0963743
Anna [2013].mp4,1280.0,536.0,,tt1715336
Antichrist [2009].avi,720.0,304.0,,tt0870984
Anvil The Story of Anvil [2008].avi,608.0,336.0,,tt1157605
Any Which Way You Can [1980].avi,384.0,208.0,,tt0080377
Apocalypto [2006].avi,564.0,300.0,,tt0472043
Arlington Road [1999].mp4,1280.0,534.0,,tt0137363
"As Above, So Below [2014].mp4",1280.0,696.0,,tt2870612
Atomic Blonde [2017].mkv,1916.0,796.0,,tt2406566
Attack on Titan Part 1 [2015].mkv,1280.0,720.0,,tt2072230
Autumn Blood [2013].mp4,1280.0,544.0,,tt2085752
AVP Alien vs. Predator [2004].avi,640.0,256.0,,tt0370263
Awake [2007].avi,656.0,278.0,,tt0211933
Backtrack [2015].mp4,1280.0,528.0,,tt2784936
Bad Ass 2 Bad Asses [2014].mp4,1280.0,720.0,,tt2996648
Bad Grandpa [2013].mp4,1280.0,720.0,,tt3063516
Banshee Chapter [2013].mp4,640.0,352.0,,tt2011276
Battle Los Angeles [2011].avi,720.0,304.0,,tt1217613
Battle Royale [2000].avi,448.0,256.0,,tt0266308
Beerfest [2006].avi,588.0,240.0,,tt0486551
Benny & Joon [1993].avi,640.0,336.0,,tt0106387
Beowulf [2007].avi,644.0,268.0,,tt0442933
Bernie [2011].avi,640.0,352.0,,tt1704573
Big Hero 6 [2014].mp4,720.0,304.0,,tt2245084
Big [1988].mkv,1280.0,688.0,,tt0094737
Bio-Dome [1996].avi,1024.0,576.0,,tt0115683
Birdman [2014].mkv,720.0,384.0,,tt5130912
Black Dynamite [2009].avi,624.0,336.0,,tt1190536
Black Swan [2010].m4v,720.0,360.0,,tt0947798
Blitz [2011].avi,720.0,304.0,,tt1297919
Blood and Chocolate [2007].avi,640.0,272.0,,tt0397044
Bloodwork [2012].avi,576.0,240.0,,tt1562567
Blubberella [2011].avi,720.0,304.0,,tt1756427
Blue Harvest [2007].avi,512.0,384.0,,tt0888817
Bokeh [2017].mkv,1904.0,800.0,,tt3722062
Boogie Nights [1997].mkv,1280.0,534.0,,tt0118749
Bowling for Columbine [2002].mkv,1280.0,692.0,,tt0310793
Brainscan [1994].mkv,1280.0,718.0,,tt0109327
Brüno [2009].avi,624.0,336.0,,tt0889583
Bunraku [2010].avi,720.0,304.0,,tt1181795
Butter [2011].avi,720.0,304.0,,tt1349451
Cabin Fever 2 Spring Fever [2009].mkv,1280.0,544.0,,tt0961722
